,urls,status_code,tinken_title,tinken_model,key,value,breadcrumb,data_sheet
23,https://www.mrosupply.com/clutches-and-brakes/2128410_1081021q2nef_stearns/,200,Stearns 1081021Q2NEF Brake Assembly-INT 8098167,MODEL 1081021Q2NEF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
24,https://www.mrosupply.com/clutches-and-brakes/2128650_108102202092_stearns/,200,STEARNS 108102202092 CRANE-VADBL C FACE6LDS 8097660,MODEL 108102202092,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
25,https://www.mrosupply.com/clutches-and-brakes/2128689_108102202138_stearns/,200,STEARNS 108102202138 BRK-115VAC HTR & CLASS H 135222,MODEL 108102202138,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
26,https://www.mrosupply.com/clutches-and-brakes/2129068_108201102tbf_stearns/,200,Stearns 108201102TBF Brake Assembly-STD 8046911,MODEL 108201102TBF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
27,https://www.mrosupply.com/clutches-and-brakes/2129297_108202102mlf_stearns/,200,Stearns 108202102MLF Brake Assembly-STD 8044721,MODEL 108202102MLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
28,https://www.mrosupply.com/clutches-and-brakes/2129538_1082031q2xlf_stearns/,200,Stearns 1082031Q2XLF Brake Assembly-INT 150526,MODEL 1082031Q2XLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
29,https://www.mrosupply.com/clutches-and-brakes/2129687_108203202pqf_stearns/,200,Stearns 108203202PQF Brake Assembly-STD 8088649,MODEL 108203202PQF,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
30,https://www.mrosupply.com/clutches-and-brakes/2129656_1082032i2jlf_stearns/,200,Stearns 1082032I2JLF Brake Assembly-INT 136744,MODEL 1082032I2JLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
31,https://www.mrosupply.com/clutches-and-brakes/2129943_108204102121_stearns/,200,STEARNS 108204102121 BRK-TACHTHRU SHAFT 171943,MODEL 108204102121,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
32,https://www.mrosupply.com/clutches-and-brakes/2129858_108204102nff_stearns/,200,Stearns 108204102NFF Brake Assembly-STD 8016678,MODEL 108204102NFF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
33,https://www.mrosupply.com/clutches-and-brakes/2130087_108204202104_stearns/,200,STEARNS 108204202104 CRANE DUTY-VATERM&56LDS 8010681,MODEL 108204202104,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
34,https://www.mrosupply.com/clutches-and-brakes/2130776_108604102llf_stearns/,200,Stearns 108604102LLF Brake Assembly-STD 8000528,MODEL 108604102LLF,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
35,https://www.mrosupply.com/clutches-and-brakes/2142307_501141001_stearns/,200,STEARNS 501141001 M.B. & COIL ASSY 70/230 V 8020514,MODEL 501141001,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
36,https://www.mrosupply.com/clutches-and-brakes/2128145_108101102112_stearns/,200,STEARNS 108101102112 BRK-STD BRK & ADAPTER KIT 125265,MODEL 108101102112,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
37,https://www.mrosupply.com/clutches-and-brakes/2128052_108101102cff_stearns/,200,Stearns 108101102CFF Brake Assembly-STD 143377,MODEL 108101102CFF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
38,https://www.mrosupply.com/clutches-and-brakes/2128088_108101102olf_stearns/,200,Stearns 108101102OLF Brake Assembly-STD 8073694,MODEL 108101102OLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
39,https://www.mrosupply.com/clutches-and-brakes/2128505_108102102096_stearns/,200,STEARNS 108102102096 BRK-C/RING STW/ INT. REL 8024280,MODEL 108102102096,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
40,https://www.mrosupply.com/clutches-and-brakes/2128467_108102102pqf_stearns/,200,Stearns 108102102PQF Brake Assembly-STD 8026226,MODEL 108102102PQF,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
41,https://www.mrosupply.com/clutches-and-brakes/2128543_1081022h2fef_stearns/,200,Stearns 1081022H2FEF Brake Assembly-INT 167552,MODEL 1081022H2FEF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
42,https://www.mrosupply.com/clutches-and-brakes/2128911_108103202rlf_stearns/,200,Stearns 108103202RLF Brake Assembly-STD 8016630,MODEL 108103202RLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
43,https://www.mrosupply.com/clutches-and-brakes/2129602_108203102050_stearns/,200,STEARNS 108203102050 BR-C/RING BRZCL HINT RL 8000365,MODEL 108203102050,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
44,https://www.mrosupply.com/clutches-and-brakes/2129796_108203502003_stearns/,200,STEARNS 108203502003 SVR-BRK-RL TACHW/ HUB 8026652,MODEL 108203502003,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
45,https://www.mrosupply.com/clutches-and-brakes/2130035_108204202nff_stearns/,200,Stearns 108204202NFF Brake Assembly-STD 8081556,MODEL 108204202NFF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
46,https://www.mrosupply.com/clutches-and-brakes/2130202_1082051h2nqf_stearns/,200,Stearns 1082051H2NQF Brake Assembly-INT 8014111,MODEL 1082051H2NQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
47,https://www.mrosupply.com/clutches-and-brakes/2129058_108201102jbf_stearns/,200,Stearns 108201102JBF Brake Assembly-STD 8072705,MODEL 108201102JBF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
48,https://www.mrosupply.com/clutches-and-brakes/2129264_1082021h2jlf_stearns/,200,Stearns 1082021H2JLF Brake Assembly-INT 8046484,MODEL 1082021H2JLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
49,https://www.mrosupply.com/clutches-and-brakes/2129276_1082021u2fqf_stearns/,200,Stearns 1082021U2FQF Brake Assembly-INT 8039992,MODEL 1082021U2FQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
50,https://www.mrosupply.com/clutches-and-brakes/2129386_1082022i2jqf_stearns/,200,Stearns 1082022I2JQF Brake Assembly-INT 8026516,MODEL 1082022I2JQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
51,https://www.mrosupply.com/clutches-and-brakes/2129594_108203102032_stearns/,200,STEARNS 108203102032 BRK-C FACES RELR233SW 8088691,MODEL 108203102032,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
52,https://www.mrosupply.com/clutches-and-brakes/2129535_1082031h2pqf_stearns/,200,Stearns 1082031H2PQF Brake Assembly-INT 169799,MODEL 1082031H2PQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
53,https://www.mrosupply.com/clutches-and-brakes/2129924_108204102100_stearns/,200,STEARNS 108204102100 SVR-BRK-DERATE 250#FTHTR 125216,MODEL 108204102100,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
54,https://www.mrosupply.com/clutches-and-brakes/2129981_1082042h2nlf_stearns/,200,Stearns 1082042H2NLF Brake Assembly-INT 8026712,MODEL 1082042H2NLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
55,https://www.mrosupply.com/clutches-and-brakes/2130328_108205202032_stearns/,200,STEARNS 108205202032 ADAPT TO HK1208440V60HZ 8094765,MODEL 108205202032,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
56,https://www.mrosupply.com/clutches-and-brakes/2130470_108231402fqb_stearns/,200,Stearns 108231402FQB Brake Assembly-FAN GUARD 205293,MODEL 108231402FQB,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
57,https://www.mrosupply.com/clutches-and-brakes/2130472_1082315i0clb_stearns/,200,Stearns 1082315I0CLB Brake Assembly-INT 194098,MODEL 1082315I0CLB,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
